"site" "deployment_id" "filename" "label" "confidence" "site.id" "day.id" "image.id" "obs.class"
"CT-4B" "CT-4B_April26-May19" "RCNX0227.JPG" "deer" 5.6204309748628 11 11 3 1
"CT-4B" "CT-4B_April26-May19" "RCNX0248.JPG" "deer" 3.79029262382839 11 11 10 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0257.JPG" "deer" 8.804725252617 11 13 1 1
"CT-4B" "CT-4B_April26-May19" "RCNX0263.JPG" "deer" 0.560637358885922 11 13 3 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0266.JPG" "deer" 5.05134659066581 11 13 4 1
"CT-4B" "CT-4B_April26-May19" "RCNX0269.JPG" "deer" 0.263839945202687 11 13 5 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0305.JPG" "deer" 7.87495923302542 11 15 5 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0305.JPG" "deer" 9.43340392009061 11 15 5 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0305.JPG" "deer" 11.5129154649248 11 15 5 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0308.JPG" "deer" 10.414283175853 11 15 6 1
"CT-4B" "CT-4B_April26-May19" "RCNX0311.JPG" "deer" 9.72110599394295 11 15 7 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0317.JPG" "deer" 8.37720122258723 11 15 9 1
"CT-4B" "CT-4B_April26-May19" "RCNX0320.JPG" "deer" 7.23553908662961 11 15 10 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0323.JPG" "deer" 8.67954210646235 11 15 11 1
"CT-4B" "CT-4B_April26-May19" "RCNX0326.JPG" "deer" 8.29379960884693 11 15 12 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0329.JPG" "deer" 8.37720122258723 11 15 13 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0332.JPG" "deer" 4.26479133859118 11 15 14 1
"CT-4C" "CT-4C_April26-May19" "RCNX0428.JPG" "deer" 4.67383868054621 12 2 5 NA
"CT-4C" "CT-4C_April26-May19" "RCNX0454.JPG" "deer" 7.36916054004528 12 3 5 1
"CT-4C" "CT-4C_April26-May19" "RCNX0463.JPG" "deer" 0.148391701699665 12 4 3 0
